PBS at Day,Placement,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
1NC7,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1NC8,A1,A1,2,B2,B1,5,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1NC9,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
1NC10,A1,A1,2,B2,B3,7,B3,B4,9,B3,B4,9,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16
2A1,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2A2,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,C1,B3,9,B2,B4,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,,,
2A3,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2A4,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2A5,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C2,B4,10,C2,C1,12,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C2,15,C4,C2,15,,,
2A6,A1,A1,2,B1,B1,4,B1,B2,5,B2,B3,7,B2,B3,7,B3,B3,8,B3,B4,9,C2,B4,11,C2,B4,11,C2,C1,12,C2,C1,12,C2,C1,12,C2,C1,12,C2,C2,13,C2,C2,13,C3,C2,14,,,
2A7,A1,A1,2,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2A8,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2A9,A1,A1,2,B2,B1,5,B3,B2,7,C1,B3,9,C2,B3,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C2,15,,,
2A10,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B1,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B2,A1,A1,2,A1,B1,3,B1,B2,5,B1,B2,5,B2,B3,7,B2,B3,7,B3,B4,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C2,C2,13,C2,C2,13,C4,C2,15,C4,C2,15,C4,C2,15,,,
2B3,A1,A1,2,B2,B2,6,B3,B2,7,C1,B3,9,C2,B3,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B4,A1,A1,2,B2,B3,7,B3,B4,9,B3,B4,9,C1,C1,11,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B5,A1,A1,2,B2,B1,5,B3,B3,8,C1,B4,10,C1,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B6,A1,A1,2,B2,B3,7,B3,B4,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B7,A1,A1,2,B2,B3,7,B3,B4,9,B3,B4,9,C1,C1,11,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B8,A1,A1,2,B2,B3,7,B3,B4,9,C1,B4,10,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B9,A1,A1,2,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2B10,A1,A1,2,B2,B3,7,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C1,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C2,A1,A1,2,B2,B3,7,B3,B3,8,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C3,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C2,C2,13,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C4,A1,A1,2,B2,B3,7,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C5,A1,A1,2,B2,B2,6,B3,B3,8,C1,B4,10,C1,C1,11,C1,C1,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C6,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C7,A1,A1,2,B3,B2,7,C1,B4,10,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C3,C1,13,C4,C1,14,C4,C1,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C8,A1,A1,2,B2,B1,5,B3,B3,8,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C9,A1,A1,2,B2,B3,7,B3,B3,8,B3,B4,9,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2C10,A1,A1,2,B2,B3,7,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D1,A1,A1,2,B1,B2,5,B2,B2,6,B2,B3,7,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D2,A1,A1,2,B2,B3,7,B3,B3,8,C2,B4,11,C2,C1,12,C3,C1,13,C1,C1,11,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D3,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D4,A1,A1,2,B2,B1,5,B3,B2,7,C1,B3,9,C1,B3,9,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D5,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D6,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C2,C1,12,C3,C1,13,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D7,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D8,A1,A1,2,B2,B3,7,B3,B4,9,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D9,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2D10,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA1,A1,A1,2,B1,B1,4,B2,B2,6,B3,B2,7,B3,B3,8,B3,B3,8,C1,B3,9,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,,,
2BA2,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
2BA3,A1,A1,2,B1,B3,6,B2,B3,7,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,,,
2BA4,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA5,A1,A1,2,B3,B3,8,C1,B4,10,C1,B4,10,C1,C1,11,C1,C1,11,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA6,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA7,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C1,B4,10,C2,C1,12,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA8,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA9,A1,A1,2,B1,B1,4,B2,B3,7,B3,B3,8,C1,B4,10,C1,C1,11,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2BA10,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
2CA1,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA2,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C3,B4,12,C3,C1,13,C3,C1,13,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA3,A1,A1,2,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA4,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA5,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,,,
2CA6,A1,A1,2,B2,B3,7,B3,B3,8,C1,B3,9,C2,B4,11,C3,B4,12,C3,C1,13,C4,C1,14,C4,C1,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA7,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C2,C2,13,C2,C2,13,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,,,
2CA8,A1,A1,2,B2,B3,7,B3,B3,8,C1,B4,10,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA9,A1,A1,2,B2,B1,5,B3,B2,7,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,,,
2CA10,A1,A1,2,B1,B2,5,B2,B3,7,B3,B4,9,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA1,A1,A1,2,B1,B2,5,B2,B2,6,B3,B3,8,B3,B3,8,B3,B4,9,C1,C1,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA2,A1,A1,2,B1,B2,5,B2,B2,6,B2,B3,7,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA3,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA4,A1,A1,2,B1,B2,5,B2,B2,6,B3,B3,8,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA5,A1,A1,2,B1,B1,4,B2,B2,6,B2,B3,7,B3,B4,9,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA6,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA7,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C3,C3,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA8,A1,A1,2,B2,B1,5,B3,B2,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA9,A1,A1,2,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2DA10,A1,A1,2,B2,B2,6,B2,B3,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,C1,12,C2,C1,12,C3,C2,14,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC1,A1,A1,2,B1,B2,5,B2,B3,7,B2,B3,7,B3,B4,9,C1,B4,10,C1,B4,10,C2,C1,12,C2,C1,12,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC2,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC3,A1,A1,2,B3,B3,8,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC4,A1,A1,2,B2,B2,6,B3,B2,7,C1,B3,9,C1,B3,9,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC5,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC6,A1,A1,2,B2,B3,7,B3,B3,8,B3,B4,9,C1,B4,10,C2,C1,12,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC7,A1,A1,2,B3,B3,8,B3,B4,9,C1,B4,10,C1,C1,11,C2,C1,12,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC8,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,B3,B3,8,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2PC9,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,,,
2PC10,A1,A1,2,B2,B2,6,B3,B3,8,C1,B3,9,C1,B3,9,C1,B4,10,C2,B4,11,C2,C1,12,C3,C1,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC1,A1,A1,2,B2,B2,6,B3,B3,8,B3,B4,9,C1,B4,10,C2,C1,12,C2,C2,13,C3,C1,13,C3,C2,14,C3,C2,14,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC2,A1,A1,2,B1,B3,6,B2,B3,7,B2,B4,8,B3,B4,9,C1,C1,11,C1,C1,11,C2,C2,13,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC3,A1,A1,2,B2,B3,7,B2,B3,7,B3,B3,8,C1,B3,9,C1,B4,10,C2,B4,11,C3,B4,12,C3,C2,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC4,A1,A1,2,B2,B1,5,B3,B2,7,C1,B3,9,C1,B4,10,C3,C1,13,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC5,A1,A1,2,B2,B2,6,B2,B3,7,B2,B3,7,B3,B4,9,B3,C1,10,C1,C1,11,C2,C1,12,C3,C2,14,C3,C2,14,C4,C2,14,C4,C2,14,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC6,A1,A1,2,B1,B1,4,B2,B2,6,B3,B3,8,C1,B3,9,C2,B3,10,C3,B3,11,C3,B4,12,C3,C1,13,C4,C1,14,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC7,A1,A1,2,B1,B2,5,B2,B3,7,B3,B3,8,C1,B3,9,C2,B4,11,C2,B4,11,C3,C1,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,,,
2NC8,A1,A1,2,B1,B2,5,B2,B3,7,C2,B3,10,C3,B3,11,C3,B4,12,C4,B4,13,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C2,15,C4,C3,16,C4,C3,16,C4,C3,16,C4,C3,16,,,
